mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22.54388213,2.393072728,0.321745682,0.113359279,63161.14267,linear,"OrderedDict({'C': 63161.14266750315, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.56782851,1.09514579,0.182213116,0.029508207,62478.51112,linear,"OrderedDict({'C': 62478.5111178979, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
20.82204046,4.219406101,0.196737194,0.055291294,61426.61737,linear,"OrderedDict({'C': 61426.61737041029, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.57654309,1.198534424,0.503903246,0.405254813,60378.21681,linear,"OrderedDict({'C': 60378.21681086476, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.76793995,0.926069124,0.224613237,0.062819498,1266.837694,linear,"OrderedDict({'C': 1266.837693978805, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.72694287,1.622806701,0.729013872,1.005015341,58131.27998,linear,"OrderedDict({'C': 58131.27997976319, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.41158233,0.581983516,0.242023325,0.056216382,542.3989472,linear,"OrderedDict({'C': 542.3989472171079, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.38483963,0.887417337,0.320455933,0.307911474,56510.3194,linear,"OrderedDict({'C': 56510.31940077565, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.73073516,1.824600701,0.346834278,0.307814151,59107.66908,linear,"OrderedDict({'C': 59107.66907957152, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.02742085,0.554606491,0.277231312,0.15821229,57992.12342,linear,"OrderedDict({'C': 57992.12341852481, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.0458971,1.003351019,0.226895571,0.107050775,56965.60127,linear,"OrderedDict({'C': 56965.60127113107, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.02588601,1.204152902,0.83040843,0.68744096,540.5665536,linear,"OrderedDict({'C': 540.5665536320657, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.87511997,1.290876789,0.742438507,0.648578068,28827.96845,linear,"OrderedDict({'C': 28827.968452625515, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.78031802,1.009728814,0.387503481,0.297213076,544.7719996,linear,"OrderedDict({'C': 544.7719995779681, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.74841275,1.446223455,0.920344639,1.120575588,28311.75336,linear,"OrderedDict({'C': 28311.75335952518, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.37334375,1.408023618,0.757577467,0.573855441,1188.52112,linear,"OrderedDict({'C': 1188.521120483324, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.79850006,1.166831011,0.441168642,0.369493082,542.7513739,linear,"OrderedDict({'C': 542.7513739276112, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.82622275,0.925415008,0.481034994,0.592709168,27240.52686,linear,"OrderedDict({'C': 27240.526857684006, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.00868444,1.105697851,0.463155556,0.50315338,26883.36537,linear,"OrderedDict({'C': 26883.365374348676, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.26271715,0.844326268,0.215478611,0.0793566,26554.36605,linear,"OrderedDict({'C': 26554.36605382631, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
29.71766496,0.294357848,0.282422447,0.093237791,26257.51737,linear,"OrderedDict({'C': 26257.51737381385, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
28.75795088,0.542200679,0.514902115,0.199002948,539.7975515,linear,"OrderedDict({'C': 539.7975515332699, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
23.72557278,2.610225546,0.346782255,0.352869025,539.2327026,linear,"OrderedDict({'C': 539.2327026127613, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.3181088,0.709871718,0.541912556,0.563038123,25328.54093,linear,"OrderedDict({'C': 25328.540925423127, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.82878647,1.387592324,0.20819335,0.061638654,1175.617718,linear,"OrderedDict({'C': 1175.6177182608296, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
26.55911345,0.835929496,0.335359287,0.17855892,24907.45844,linear,"OrderedDict({'C': 24907.458444149062, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
27.44645391,0.401576126,0.21197257,0.100584405,1173.623987,linear,"OrderedDict({'C': 1173.623987198199, 'kernel': 'linear'})",0.95625,0.9475,0.93875,0.95375,0.9625,0.95175,0.008085481,1
